,ref_de,orig_en,trans_de
71,Jede Klasse wird drei Preise auf der Grundlage der Beurteilung nach den Regeln zugewiesen werden.,Each class will be allocated three prizes on the basis of judging according to the rules.,"Jede Klasse erhält drei Preise, die auf der Grundlage der Beurteilung nach den Regeln vergeben werden."
72,"Ob die jetzt zwingend in den USA leben wollen, das können wir doch nicht entscheiden, sondern das muss in der Hand dieser Leute liegen.",We cannot decide whether or not they want to live in the USA. That is their choice.,"Wir können nicht entscheiden, ob sie in den USA leben wollen oder nicht. Das ist ihre Entscheidung."
73,Aber wir dürfen nicht lediglich in unseren Reden auf diese Frage Bezug nehmen.,But we must not limit ourselves to a few simple references in our speeches.,Aber wir dürfen uns in unseren Reden nicht nur auf ein paar einfache Verweise beschränken.
74,Seit der vergangenen Saison vertrauen wir auf die Bekleidungsprodukte von Norrona.,For one year already we trust the norwegian company Norrona.,Seit einem Jahr vertrauen wir bereits der norwegischen Firma Norrona.
75,Den Zugang zu allen Methoden des Schwangerschaftsabbruchs in allen Ländern ermöglichen.,Freedom of access to all abortion methods in all countries.,Zugangsfreiheit zu allen Abtreibungsmethoden in allen Ländern.
76,Ist die Anzahl der Teilnehmer limitiert?,Is there a limited number of participants?,Gibt es eine begrenzte Anzahl von Teilnehmern?
77,Ich bin immer auf dem Weg der Verbesserung meines Wissens und Könnens in diesem Gebiet.,I am always chasing the goal of improving my skills and knowledge.,"Ich verfolge stets das Ziel, meine Fähigkeiten und mein Wissen zu verbessern."
78,"Der Ständige Ausschuss für Konsens und Koordination für alternative Medizin in Italien” vertritt ca. 12.000 Ärzte, Zahnärzte und Veterinäre aller Disziplinen, die vom Verband Federazione degli Ordini dei Medici Chirurghi e degli Odontoiatri e dei Veterinari anerkannt sind: Akupunktur, Phytotherapie, anthroposophische Medizin, ayurvedische Medizin, homöopathische Medizin, traditionelle chinesische Medizin, Homotoxikologie, unterteilt in 31 Verbände.","The Committee represents some 12.000 doctors, dental surgeons and veterinary surgeons from all disciplines recognised by the Federation of Guilds for Surgeons and Dentists and Veterinary Surgeons: Acupuncture, Phytotherapy, Anthroposophical Medicine, Ayurvedic Medicine, Homeopathic Medicine, Traditional Chinese Medicine, Homotoxicology, grouped in 31 Associations.","Der Ausschuss vertritt etwa 12.000 Ärzte, Zahnärzte und Tierärzte aus allen Disziplinen, die von der Föderation der Zünfte für Chirurgen und Zahnärzte sowie Tierärzte anerkannt sind: Akupunktur, Phytotherapie, Anthroposophische Medizin, Ayurvedische Medizin, Homöopathische Medizin, Traditionelle Chinesische Medizin, Homotoxikologie, organisiert in 31 Verbänden."
79,"Wir haben auf dem gesamten Gut den integrierten Pflanzenschutz eingeführt, der sich den Gegebenheiten der Umwelt und den Ansprüchen der Pflanzen anpasst und im Gegensatz zu den im Allgemeinen angewendeten Methoden die Verwendung zahlreicher Präparate untersagt.","Introduced integrated pest control that is flexible to the environment and the needs of plants. Unlike general regulations, this method excludes many chemicals.","Eingeführte integrierte Schädlingsbekämpfung, die flexibel an die Umwelt und die Bedürfnisse der Pflanzen angepasst ist. Im Gegensatz zu allgemeinen Vorschriften schließt diese Methode viele Chemikalien aus."
80,"Glycolipid e sind phosphatfreie, sphingosinhaltige Lipide mit einem glykosidisch an die 1-Hydroxyl-Gruppe des Sphingosin gebundenen Kohlenhydrat -Anteil.","An important type of glyceride-based molecule found in biological membranes , such as the cell's plasma membrane and the intracellular membranes of organelles , are the phosphoglycerides or glycerophospholipids . These are phospholipids that contain a glycerol core linked to two fatty acid-derived ""tails"" by ester or, more rarely, ether linkages and to one ""head"" group by a phosphate ester linkage.","Ein wichtiger Typ von glyceridbasierten Molekülen, der in biologischen Membranen vorkommt, wie der Plasmamembran der Zelle und den intrazellulären Membranen von Organellen, sind die Phosphoglyceride oder Glycerophospholipide. Dabei handelt es sich um Phospholipide, die einen Glycerolkern enthalten, der durch Ester- oder seltener Etherbindungen mit zwei aus Fettsäuren abgeleiteten ""Schwänzen"" und durch eine Phosphatesterbindung mit einer ""Kopf""gruppe verbunden ist."
81,"Ohne dass diese verdeckten Probleme angegangen worden wären, folgte auf den Zermürbungskrieg 1973 ein weiterer Krieg, der wieder die meisten Menschen in Ägypten und im Ausland überraschte.","With the underlying issues left unaddressed, the war of attrition was followed by another full-scale war in 1973 – one that again surprised most people inside and outside Egypt.","Da die zugrundeliegenden Probleme unbehandelt blieben, folgte auf den Abnutzungskrieg 1973 ein weiterer umfassender Krieg – einer, der erneut die meisten Menschen innerhalb und außerhalb Ägyptens überraschte."
82,"Es stimmt, daß es eigentlich in keine Richtung glaubhafte Beweise gibt, weder in bezug auf die Behörden noch in bezug auf die moslemischen Gruppen, nicht zuletzt deshalb, weil sich die algerische Regierung weigert, einer internationalen Untersuchungskommission zuzustimmen.","It is true that there is in fact no credible evidence either way, either against the authorities or against the Islamic groups, not least because the Algerian government refuses to agree to an international investigating commission.","Es ist wahr, dass es tatsächlich keine glaubwürdigen Beweise in die eine oder andere Richtung gibt, weder gegen die Behörden noch gegen die islamischen Gruppen, nicht zuletzt weil die algerische Regierung sich weigert, einer internationalen Untersuchungskommission zuzustimmen."
83,"Als Christopher Columbus kam auf seiner dritten Reise in die neue Welt, in 1498 fand er eine Jungfrau und fruchtbaren Landes.",When Christopher Columbus arrived on his third trip to the new world in 1498 he found a virgin and fertile country.,"Als Christoph Kolumbus im Jahr 1498 auf seiner dritten Reise in die Neue Welt ankam, fand er ein unberührtes und fruchtbares Land vor."
84,Die Empfehlungen des Berichterstatters werden zur Vereinfachung der Gesetzgebung beitragen und die ungehinderte Fahrt von Zügen innerhalb der EU erleichtern.,The rapporteur's recommendations will help streamline legislation and facilitate free movement of trains across the EU.,"Die Empfehlungen des Berichterstatters werden dazu beitragen, die Gesetzgebung zu vereinfachen und die Freizügigkeit von Zügen innerhalb der EU zu erleichtern."
85,"   Herr Präsident, ich möchte den Berichterstattern für ihre ausgezeichnete Arbeit danken und meine volle Zustimmung zu dem Bericht ausdrücken, den wir heute diskutieren.","   Mr President, I would like to thank the rapporteurs for their excellent work and express my full support for the report we are debating today.","Herr Präsident, ich möchte den Berichterstattern für ihre hervorragende Arbeit danken und meine volle Unterstützung für den Bericht, den wir heute diskutieren, zum Ausdruck bringen."
86,"Schon 1975 sprach Jean Baudrillard von Graffiti als ""Aufstand der Zeichen"", als Medium für jene Künstler, die den Stellenwert des Menschen in postindustriellen Metropolen reflektieren.","As early as 1975, Jean Baudrillard spoke of graffiti as the ""revolution of signs"" the true medium of those artists who reflect the significance of the human being within the post-industrial metropolis. For this purpose, the sprayers apply an individual visual language that adapts to the conditions within urban space, utilizing the optimum potential of that language as the basis for artistic interventions.","Bereits 1975 sprach Jean Baudrillard von Graffiti als der ""Revolution der Zeichen"", dem wahren Medium jener Künstler, die die Bedeutung des Menschen in der postindustriellen Metropole reflektieren. Zu diesem Zweck verwenden die Sprüher eine individuelle visuelle Sprache, die sich den Bedingungen im urbanen Raum anpasst und das optimale Potenzial dieser Sprache als Grundlage für künstlerische Interventionen nutzt."
87,Der zweite Punkt geht nicht direkt aus dem Wortlaut des Berichts oder aus den Schlussfolgerungen hervor.,The second is not disclosed by the content of the report or by the conclusions.,Der zweite wird weder durch den Inhalt des Berichts noch durch die Schlussfolgerungen offengelegt.
88,"Um ein solches Netz von Hilfsangeboten nachhaltig zu entwickeln, müssen wissenschaftliche Grundlagen erarbeitet werden.","For the sustained development of such a support network, a scientific basis needs to be established.",Für die nachhaltige Entwicklung eines solchen Unterstützungsnetzwerks muss eine wissenschaftliche Grundlage geschaffen werden.
89,01 by KLAP+ Mini clip of JOKE (Label STUNT) by MEK (KlapTeam)+ Tattoo session with Noiztoy & Alber from the BFB crew+ Graffity session feat MEK (KlapTeam)+ Mink Freak mix feat SAM filmed by Sebastien...,"Encadrés par un dispositif policier impressionnant, ils ont ensuite regagné Marseille en bus. Le Phocéen était sur place.","The given text is in French, not English. Here is the translation from French to German:

""Begleitet von einem beeindruckenden Polizeiaufgebot fuhren sie anschließend mit dem Bus zurück nach Marseille. Der Phocéen war vor Ort."""
90,"Sie erinnern sich sicher, daß ich seinerzeit unser Haus darüber informiert habe, daß ich im Einklang mit unserer Geschäftsordnung den Rechtsausschuß um eine Stellungnahme in dieser Frage gebeten hatte.","You will remember that I informed the House at the time that I would ask the Legal Affairs Committee, in accordance with our Rules of Procedure, to give an opinion on this issue.","Sie werden sich erinnern, dass ich das Haus damals darüber informiert habe, dass ich den Rechtsausschuss bitten werde, gemäß unserer Geschäftsordnung zu diesem Thema eine Stellungnahme abzugeben."
91,"Und während Themroc/Piccoli im Inneren der nach Außen geöffneten Behausung und in neuen, freien Beziehungen den Versuch eines anderen Lebens unternimmt, während sich die Wildheit immer mehr ausbreitet, widerfährt seinem Kollegen draußen auf der Straße am nächsten Morgen der Entzug der komplementären sozialen Komponente: Gewohnt an das tägliche Ritual des gegenseitigen Stützens und Gestütztwerdens übersieht er beim Einbiegen vom Hof in die Straße die neue Situation und – fällt unvermittelt mitsamt seines Fahrrads um.","And while Themroc/Piccoli attempts to live a different life inside his dwelling opened up to the outside and in new, free relationships, the next morning his colleague outside on the street experiences the withdrawal of the complementary social component: accustomed to the daily ritual of mutually supporting and being supported, as he turns into the street from the courtyard he overlooks the new situation – and abruptly falls over with his bicycle.","Und während Themroc/Piccoli versucht, ein anderes Leben innerhalb seiner nach außen geöffneten Behausung und in neuen, freien Beziehungen zu führen, erlebt am nächsten Morgen sein Kollege draußen auf der Straße den Entzug der ergänzenden sozialen Komponente: An den täglichen Ritus des gegenseitigen Unterstützens und Unterstütztwerdens gewöhnt, übersieht er beim Einbiegen auf die Straße aus dem Hof die neue Situation – und stürzt abrupt mit seinem Fahrrad."
92,In dieser Hinsicht ist der Gipfel von Stockholm eine Enttäuschung.,In this sense the Stockholm Summit was a disappointment.,In diesem Sinne war der Gipfel in Stockholm eine Enttäuschung.
93,", Verfasser der Stellungnahme des Ausschusses für Außenwirtschaftsbeziehungen.","Mr President, I too should like to take this opportunity to congratulate the rapporteur.","Herr Präsident, auch ich möchte diese Gelegenheit nutzen, um dem Berichterstatter zu gratulieren."
94,"Wir müssen ein allgemeines und vollständiges Embargo über Waffenlieferungen nach Somalia verhängen und sicherstellen, dass die humanitäre Hilfe sowie der Zugang zur dieser Hilfe und der Verteilung der Hilfsgüter in Somalia gewährleistet sind.",We must enforce the general and complete embargo on the supply of weapons to Somalia and ensure that the delivery of humanitarian aid and access to that aid and its distribution in Somalia are guaranteed.,"Wir müssen das allgemeine und vollständige Embargo gegen die Lieferung von Waffen nach Somalia durchsetzen und sicherstellen, dass die Lieferung von humanitärer Hilfe sowie der Zugang zu dieser Hilfe und deren Verteilung in Somalia garantiert sind."
95,"Einer der Punkte, die mich beschäftigen, sind die mit der Erteilung von Führerscheinen verbundenen Kosten, insbesondere für Jugendliche.",One of the points that concerns me is the cost of licensing for young people in particular.,"Einer der Punkte, die mich besonders besorgen, sind die Lizenzierungskosten, insbesondere für junge Menschen."
96,"Meine Damen und Herren, erlauben Sie mir, der Slowakei dazu zu gratulieren, dass sie diesen großen Schritt gegangen ist und diesen enormen Erfolg erzielt hat.","Ladies and gentlemen, allow me to congratulate Slovakia on taking this big step and achieving this huge success.","Meine Damen und Herren, gestatten Sie mir, der Slowakei zu diesem großen Schritt und diesem riesigen Erfolg zu gratulieren."
97,"Über 50 Mitarbeiter in Deutschland, Rumänien und Bulgarien arbeiten engagiert und kompetent Tag für Tag daran, Projekte unterschiedlich-ster Größe mit Effizienz zu einem erfolgreichen Abschluss zu bringen.","More than 50 dedicated employees in Germany, Romania and Bulgaria are permanently at work on projects of all sizes, making sure that these are completed successfully and with maximum efficiency.","Mehr als 50 engagierte Mitarbeiter in Deutschland, Rumänien und Bulgarien arbeiten kontinuierlich an Projekten jeder Größe, um sicherzustellen, dass diese erfolgreich und mit maximaler Effizienz abgeschlossen werden."
98,Bei den Konsumausgaben hat es keine Veränderungen gegeben.,Consumer spending remains unmoved.,Der Verbraucherausgaben bleiben unverändert.
99,"Wir befinden uns in einer ruhigen Lage, weit vom alltäglichen Strassenlärm, in der Mitte eines großen Weingartens wo man das umliegende Landschaft voll genießen kann.","We are in a quiet spot, away from any traffic noise, in the middle of a vast vineyard where you can fully enjoy the surrounding landscape.","Wir befinden uns an einem ruhigen Ort, abseits von Verkehrslärm, mitten in einem weitläufigen Weinberg, wo Sie die umliegende Landschaft in vollen Zügen genießen können."
100,Meiner Ansicht nach sind die Fraktion der Europäischen Volkspartei (Christdemokraten) und europäischer Demokraten und die Fraktion der Allianz der Liberalen und Demokraten für Europa die größten Lebensretter des Kompromisses.,"As I see it, the Group of the European People's Party (Christian Democrats) and European Democrats and the Group of the Alliance of Liberals and Democrats for Europe are perhaps those who have been best able to keep the compromise alive.","Meiner Ansicht nach sind es vielleicht die Fraktion der Europäischen Volkspartei (Christdemokraten) und europäischer Demokraten sowie die Fraktion der Allianz der Liberalen und Demokraten für Europa, die am besten in der Lage waren, den Kompromiss aufrechtzuerhalten."
101,"Zur Wahrung der Haushaltsneutralität wird im Zeitraum 1999-2001 gleichzeitig das Gesamtniveau der Garantieschwellen um 0, 95 % gesenkt.","In addition, in order to maintain financial neutrality, the overall level of guarantee thresholds will fall by 0.95 % between 1999 and 2001.","Darüber hinaus wird zur Aufrechterhaltung der finanziellen Neutralität das gesamte Niveau der Garantiegrenzen zwischen 1999 und 2001 um 0,95 % sinken."
102,"Dadurch erhalten wir wichtige Informationen, die uns helfen ihr Problem lösen zu können.",This will ensure that we get important information that helps us to troubleshoot your problem.,"Dies wird sicherstellen, dass wir wichtige Informationen erhalten, die uns helfen, Ihr Problem zu beheben."
103,"Wir bieten Ihnen eine großzügige Unterkunft, die mit allen erdenklichen Details ausgestattet ist.","We are proud to offer you this spacious, fully-equipped accommodation.","Wir sind stolz darauf, Ihnen diese geräumige, voll ausgestattete Unterkunft anbieten zu können."
104,"Es wird jetzt darauf ankommen, ob Sie in Andalusien z. B. eine völlige Entkoppelung vornehmen oder ob Sie z. B. bei der Tierhaltung gewisse gekoppelte Elemente behalten, unter Hinweis darauf, dass es unter Umständen zur Aufgabe von Ländereien kommen könnte.","What matters now, for example, is whether, in Andalusia, you decouple everything or whether, in animal husbandry perhaps, you retain certain coupled elements, with the stipulation that this task could, under certain circumstances, devolve upon the rural communities.","Was jetzt wichtig ist, ist beispielsweise, ob man in Andalusien alles entkoppelt oder ob man in der Tierhaltung vielleicht bestimmte gekoppelte Elemente beibehält, mit der Auflage, dass diese Aufgabe unter bestimmten Umständen auf die ländlichen Gemeinden übergehen könnte."
105,"Gums Pro Bath-it, Praiano jeden kulinarischen Überraschungen jede Nacht.","Gums Pro Bath-it, Praiano any culinary surprises every night.","Gums Pro Bath-it, Praiano bietet jeden Abend kulinarische Überraschungen."
106,"Das kann gewollt sein wenn der Helfer ausserhalb eines Aktion Kontrollers verwendet werden soll, oder wenn ein Helfer an einen Helfer Broker übergeben wird um Ihn durch irgendeine Aktion zu verwenden.","You may wish to do this if using the helper outside of an action controller, or if you wish to pass a helper to the helper broker for use by any action.","Sie möchten dies möglicherweise tun, wenn Sie den Helfer außerhalb eines Aktionscontrollers verwenden oder wenn Sie einen Helfer an den Helfer-Broker übergeben möchten, damit er von jeder Aktion verwendet werden kann."
107,Die Gebühr für das Internet hängt von der Geschwindigkeit ab.,"Meals: free of charge for children less than 7 years old, 50% discount for children less than 12 years old.","Mahlzeiten: kostenlos für Kinder unter 7 Jahren, 50 % Rabatt für Kinder unter 12 Jahren."
108,Zweitens ist da das Problem der Hisbollah.,"Secondly, there is the issue of Hezbollah.",Zweitens gibt es das Problem der Hisbollah.
109,"Die zeigen an, wieviele Sites in diesem speziellen Verzeichnis gelistet sind und NICHT wieviele Sites sich in den darunterliegenden Kategorien befinden.",They indicate how many Sites are listed in this specific directory and NOT how many sites in all the other categories below.,"Sie geben an, wie viele Seiten in diesem speziellen Verzeichnis aufgeführt sind und NICHT, wie viele Seiten in all den anderen Kategorien unten."
110,Gottlieb Daniel Paul Weber is an important 19th century German artist.,Thomas Gainsborough is one of the most renowned portrait painter.,Thomas Gainsborough ist einer der bekanntesten Porträtmaler.
111,"Im Jahr 2003 spielte Paris Hilton in der vom US-Fernsehsender FOX produzierten Serie The Simple Life mit, in der sie an der Seite ihrer Freundin Nicole Richie das ländliche Leben auf einer Farm in Altus (Arkansas) kennenlernte.","Furthermore, she appeared in several music videos, including ""It Girl"" by John Oates and ""Just Lose It"" by Eminem. Planning is underway for an eponymous cartoon series following the animated life of Hilton, her sister Nicky, and her dog Tinkerbell,[24] which began filming in September 2007.","Des Weiteren trat sie in mehreren Musikvideos auf, darunter ""It Girl"" von John Oates und ""Just Lose It"" von Eminem. Die Planung für eine gleichnamige Zeichentrickserie über das animierte Leben von Hilton, ihrer Schwester Nicky und ihrem Hund Tinkerbell ist im Gange,[24] die im September 2007 mit den Dreharbeiten begann."
112,"waren so viele und so viele E-Mails und Nachrichten, die schließlich ist gestern unter meinem TV .. entdeckte Fehler in der externen Installation und Verkabelung des Gebäudes.",were so many and so many emails and messages that finally left yesterday under my tv .. discovered flaws in the external installation and wiring of the building.,"Es gab so viele, so viele E-Mails und Nachrichten, dass sie schließlich gestern unter meinem Fernseher liegen geblieben sind. Mängel in der externen Installation und Verkabelung des Gebäudes wurden entdeckt."
113,Die genannten Handelsnamen sind Eigentum der jeweiligen Rohstoff-Hersteller.,The trade names listed are registered brands of the respective raw material producers.,Die aufgeführten Handelsnamen sind eingetragene Marken der jeweiligen Rohstoffhersteller.
114,"Bei der Erarbeitung des Berichts habe ich mich zum Beispiel gefragt, inwieweit die einzelnen Varianten der Definition des Umfangs des Fangrechts eigentlich miteinander kompatibel sind.","In the course of writing the report, for example, it occurred to me to ask just how compatible with one another the different ways of defining the extent of the right to fish are.","Im Laufe der Erstellung des Berichts kam mir zum Beispiel der Gedanke, zu fragen, wie kompatibel die verschiedenen Arten, das Ausmaß des Fischereirechts zu definieren, miteinander sind."
115,4. Oktober : Nach einem von Brüssel ausgehenden Aufstand erklärt sich Belgien für unabhängig von den Niederlanden.,August 9 - France : Louis Philippe becomes King of the French .,9. August - Frankreich: Louis-Philippe wird König der Franzosen.
116,1 - Drei kleine Prismasplitter können in einen großen Prismasplitter umgewandelt werden.,1 - 3 Small Prismatic Shards can be converted into 1 Large Prismatic Shard.,1 - 3 kleine Prismascherben können in 1 große Prismascherbe umgewandelt werden.
117,"Versuchen Sie die Bekleidung nach Notwendigkeit zu wählen, so das Sie verschiedene Bekleidung für jeden Tag haben.","In case of not wanting to wear your motorcycle jacket at night, and it is cool, then bring something that is easily stashable. There is no need to bring a change of clothes for each day.","Falls Sie Ihre Motorradjacke nachts nicht tragen möchten und es kühl ist, dann bringen Sie etwas mit, das sich leicht verstauen lässt. Es ist nicht nötig, für jeden Tag einen Wechsel an Kleidung mitzunehmen."
118,Viele Arbeitsplätze in Europa werden damit für immer verloren sein.,"As a result, many jobs in Europe will be lost forever.",Infolgedessen werden viele Arbeitsplätze in Europa für immer verloren gehen.
119,The adjoining Mall was very convenient. Shuttle service to Kowloon Hotel was fantastic.Lovely harbour view.,"The breakfast was good ,and they had a shuttle bus to downtown , easy internet using.","Das Frühstück war gut, und sie hatten einen Shuttlebus in die Innenstadt, die Nutzung des Internets war einfach."
120,"Dies geht so weit, dass durch die populistische Rhetorik ägyptischer Politiker die Wirtschaftsreformen des Mubarak-Regimes gefährdet werden.","Indeed, the populist rhetoric of Egyptian politicians threatens to undo the economic reforms undertaken by the Mubarak regime.","Tatsächlich droht die populistische Rhetorik der ägyptischen Politiker, die vom Mubarak-Regime durchgeführten Wirtschaftsreformen rückgängig zu machen."
121,Ich weiß dies zu schätzen.,I appreciate that.,Ich schätze das.
122,"Das Zurückspielen des Images ist ebenfalls unkompliziert, einzelne Dateien werden zum Beispiel mit Hilfe des Windows-Explorers kopiert und somit wiederhergestellt.","Restoring an image is equally simple, with single files for example being copied using Windows Explorer so they can then be restored easily when required.","Das Wiederherstellen eines Bildes ist ebenso einfach, wobei einzelne Dateien beispielsweise mithilfe des Windows Explorers kopiert werden, sodass sie bei Bedarf problemlos wiederhergestellt werden können."
123,Lassen Sie uns den guten alten Lastwagen nicht aus den Augen verlieren.,Let us not lose sight of the good old lorry.,Verlieren wir den guten alten Lkw nicht aus den Augen.
124,Studierende der Uni Münster haben eine Vortragreihe für die Lehramtstudierenden ihrer Uni zum Thema Demokratische Schulen geplant.,About half of the participants were school and university students.,Etwa die Hälfte der Teilnehmer waren Schülerinnen und Schüler sowie Studierende.
125,Bereits nach einem Jahr wurde sie zum ersten Mal erfolgreich ausgestellt.,One year later our Luisa was prosperously presented at her first exposition.,Ein Jahr später wurde unsere Luisa erfolgreich auf ihrer ersten Ausstellung präsentiert.
126,Dies sagte er gegenüber US-Offiziellen und inländischen Oppositionellen vor dem Hintergrund eines möglichen Referendums im Zuge seiner Wahl.,"Over a span of a mere 60 days, the Constitutional Assembly thus framed a document that enshrined as constitutional law most of the structural changes Chávez desired.","Innerhalb von nur 60 Tagen entwarf die verfassungsgebende Versammlung ein Dokument, das die meisten der strukturellen Veränderungen, die Chávez wünschte, als Verfassungsrecht verankerte."
127,Ich bin abenteuerlustig und neugierig. Ich liebe zu reisen und neue neue Orte und Kulturen zu entdecken.,"I like to travel and see new places, to learn about their cultures, and have meaningful conversations as well as making smalltalk.","Ich reise gerne und sehe neue Orte, lerne über deren Kulturen und führe bedeutungsvolle Gespräche sowie Smalltalk."
128,"Frau Präsidentin, ich bin soeben von Island zurückgekehrt, wo ich dem ersten Treffen des gemischten parlamentarischen Ausschusses EU-Island beigewohnt habe.","Madam President, I have just returned from Iceland after attending the first meeting of the EU-Iceland Joint Parliamentary Committee.","Frau Präsidentin, ich bin gerade von Island zurückgekehrt, nachdem ich an der ersten Sitzung des EU-Island Gemeinsamen Parlamentarischen Ausschusses teilgenommen habe."
129,"Doch verändert die technologische Revolution nicht allein, was wir produzieren und wie; sie ist zugleich dabei, unsere Identität – Gewohnheiten, Interessen und Weltanschauungen – grundlegend umzuformen.","But the current technological revolution is not just reshaping what we produce and how we produce it; it is fundamentally reshaping who we are – our habits, interests, and worldviews.","Aber die aktuelle technologische Revolution verändert nicht nur, was wir produzieren und wie wir es produzieren; sie verändert grundlegend, wer wir sind – unsere Gewohnheiten, Interessen und Weltanschauungen."
130,"Hanau liegt im Main-Kinzig-Kreis und war bis 2005 Kreisstadt dieses Kreises, bevor Gelnhausen diese Position übernahm. Hanau behielt im Gegensatz zum restlichen Main-Kinzig-Kreis sein Autokennzeichen HU.","The easiest way to get into Hanau would be via Frankfurt , whose Frankfurt International Airport lies only 30 kilometers away.","Der einfachste Weg nach Hanau führt über Frankfurt, dessen Internationaler Flughafen Frankfurt nur 30 Kilometer entfernt liegt."
131,"Man erkennt sie oft erst, wenn Ware, Korrespondenz oder Mailings als unzustellbar zurückkommen, sich die Retourenrate erhöht oder die Bestellquote sinkt.",They are an absolute necessity for reducing postage and advertising costs and receiving more favorable postage rates.,Sie sind eine absolute Notwendigkeit zur Senkung der Portokosten und Werbekosten sowie zum Erhalt günstigerer Portotarife.
132,Es gibt in Alicante ein grosses Angebot an Pensionen und Hostals.,"There are many hostels in Alicante, Spain.","Es gibt viele Hostels in Alicante, Spanien."
133,"Ich möchte Ihnen eine Auslegung, die Artikel 162 Absatz 3 der Geschäftsordnung sowie Erklärungen zur Abstimmung betrifft und um die der Ausschuß für Geschäftsordnung, Wahlprüfung und Fragen der Immunität ersucht worden war, mitteilen.","I would like to provide an interpretation which was requested from the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, concerning paragraph 3 of Rule 162 of the Rules of Procedure and the explanations of vote.","Ich möchte eine Auslegung liefern, die vom Ausschuss für die Geschäftsordnung, die Überprüfung von Mandaten und Immunitäten angefordert wurde, bezüglich Absatz 3 von Regel 162 der Geschäftsordnung und der Erläuterungen zur Abstimmung."
134,Es ist bereits 13.29 Uhr.,I would point out that it is 1.29 p.m.,"Ich möchte darauf hinweisen, dass es 13:29 Uhr ist."
135,"Mit diesem Kontext haben wir uns Standards gesetzt, die wir auch zu Gunsten eines Billigangebots niemals unterschreiten.","With this in the background, we have set ourselves standards that we will never fall short of, not even in favour of a cheap offer.","Vor diesem Hintergrund haben wir uns Standards gesetzt, von denen wir niemals abweichen werden, nicht einmal zugunsten eines günstigen Angebots."
136,"Dies ist auch meine Antwort auf den Kommentar von Jerzy Buzek. Anders ausgedrückt: Es ist definitiv nicht unsere Absicht, die internationalen Verhandlungen allein zu führen.","And that is my response to the comment from Jerzy Buzek, in other words we are definitely not intending to lead the international negotiations by ourselves.","Und das ist meine Antwort auf die Bemerkung von Jerzy Buzek, mit anderen Worten, wir beabsichtigen definitiv nicht, die internationalen Verhandlungen allein zu führen."
137,Erdogans Strategie macht ihn mitschuldig an der Agenda der bösartigsten Feinde des Westens.,Erdogan’s strategy makes him complicit with the agenda of the West’s most vicious enemies.,Erdogans Strategie macht ihn mitschuldig an der Agenda der bösartigsten Feinde des Westens.
138,"Arbeitsspeicher wird deutlich teurer. Nach Recherchen von Maximumpc.com stiegen die Preise für Speicher seit dem letzten Jahr deutlich, teilweise um b...","WoW: IncGamers illustrates the fastest way for casual and solo players of the World of Warcraft: Wrath of the Lich King, who just reached level 80, to...","WoW: IncGamers veranschaulicht den schnellsten Weg für Gelegenheitsspieler und Solospieler von World of Warcraft: Wrath of the Lich King, die gerade Stufe 80 erreicht haben, um..."
139,"Deshalb wollen wir ein Referendum in jedem Mitgliedsstaat, wie die öffentliche Meinung in unseren Staaten es verlangt.","That is why we want a referendum in every Member State, as public opinion in our States demands.","Deshalb wollen wir in jedem Mitgliedstaat ein Referendum, da die öffentliche Meinung in unseren Staaten dies fordert."
140,"Seit Jahrzehnten waren keinerlei Preisschwankungen und kein Druck auf Europa zu spüren, dessen Kohleversorgung sichergestellt ist.","There has been no fluctuation in prices for decades, and there has never been any pressure on Europe, which has no difficulty in obtaining coal.","Seit Jahrzehnten gab es keine Preisschwankungen, und es gab nie Druck auf Europa, das keine Schwierigkeiten hat, Kohle zu beschaffen."
141,Kommen Sie nach Caorle: heute gibt es viele günstige Flüge nach und aus den wichtigsten europäischen Städten!,"Come in Caorle, today there are many interesting cheap flights to and from major European cities! You are in Caorle!","Komm nach Caorle, heute gibt es viele interessante günstige Flüge von und zu großen europäischen Städten! Du bist in Caorle!"
142,Diese neuen Werte legen dann die Margin-Erfordernisse fest.,These new values then determine margin requirements.,Diese neuen Werte bestimmen dann die Margenanforderungen.
143,Der von Mao Zedong eingeführte Sozialismus wurde durch ein vollkommen zynisches Kredo ersetzt.,The socialism established by Mao Zedong has been replaced by a thoroughly cynical creed.,Der von Mao Zedong etablierte Sozialismus wurde durch ein völlig zynisches Glaubensbekenntnis ersetzt.
144,"The reading of poems, short stories, novellas, etc. in the original language will provide the students with material for discussion about authors, opinions, place and points of view of Modern Dutch literature.",How do we learn to know and live in a place? What responsibility do we have for our environment?,"Wie lernen wir, einen Ort kennen und dort zu leben? Welche Verantwortung haben wir für unsere Umwelt?"
145,"Wir sagen ein klares Nein zu mehr Verbürokratisierung von Privatkundenkrediten, Nein zur Verteuerung von Privatkundenkrediten und Nein zur Inkludierung der Überziehungskredite in diese Richtlinie.","We say a clear no to more red tape for retail loans, no to making retail loans more expensive and no to the inclusion of overdrafts in this directive.","Wir sagen klar nein zu mehr Bürokratie für Verbraucherkredite, nein zur Verteuerung von Verbraucherkrediten und nein zur Aufnahme von Überziehungskrediten in diese Richtlinie."
