,ref_de,orig_en,trans_de
66,"Auch Moses ward der Lüge geziehen. Allein Ich gewährte Aufschub den Ungläubigen, dann erfaßte Ich sie, und wie war (die Folge) Meiner Verleugnung!","And Moses was denied ; but I indulged the disbelievers a long while , then I seized them , and how ( terrible ) was My abhorrence!","Und Mose wurde verleugnet; doch ich gewährte den Ungläubigen lange Zeit Aufschub, dann ergriff ich sie, und wie schrecklich war Mein Abscheu!"
67,"Berichtigungsschreiben nach der ersten Lesung des Haushaltes im Parlament, keine Anträge zur Abstimmung zu stellen bei der ersten Lesung im Parlament und dann ein gemeinsames Verfahren im Trilog vor der zweiten Lesung des Haushaltes im Rat, das ist institutionell ein entscheidender Schritt nach vorne.","Letters of amendment after the first reading of the budget in Parliament, no voting motions being placed during the first reading in Parliament, and then a joint procedure in the trialogue prior to the budget's second reading in the Council - from an institutional viewpoint, that constitutes a decisive step forward.","Änderungsanträge nach der ersten Lesung des Haushalts im Parlament, keine Abstimmungsanträge während der ersten Lesung im Parlament und dann ein gemeinsames Verfahren im Trilog vor der zweiten Lesung des Haushalts im Rat – aus institutioneller Sicht stellt dies einen entscheidenden Fortschritt dar."
68,"Alle vermuteten unerwünschten Arzneimittelwirkungen (UAW), die mit anderen Arzneimitteln beobachtet werden - also nicht mit dem (H1N1) Grippeimpfstoff in Verbindung stehen -, werden unverändert mit dem gelben UAW-Meldeformular an die Regionalen Pharmacovigilance Zentren gemeldet.",All suspected adverse drug reactions (ADR) that have been observed with other medications - i.e. that are not connected to the pandemic influenza (H1N1) 2009 vaccine - should be reported as usual using the yellow ADR report form to the Regional Pharmacovigilance Centres.,"Alle vermuteten Nebenwirkungen (ADR), die bei anderen Medikamenten beobachtet wurden – also solche, die nicht mit dem Impfstoff gegen die pandemische Influenza (H1N1) 2009 in Verbindung stehen – sollten wie üblich mithilfe des gelben ADR-Meldeformulars an die regionalen Pharmakovigilanz-Zentren gemeldet werden."
69,Herr Präsident! Die große europäische Vision hat Brüssel leider für viele Fehlentwicklungen der EU taub und blind gemacht.,"- (DE) Mr President, the big European vision has unfortunately made Brussels deaf and blind to numerous undesirable developments in the EU.","- (DE) Herr Präsident, die große europäische Vision hat Brüssel leider taub und blind für zahlreiche unerwünschte Entwicklungen in der EU gemacht."
70,Vorher war das unmöglich.,This had previously been impossible.,Dies war zuvor unmöglich gewesen.
71,"So mag die Versuchung groß sein, eine solche Schandtat mit einem vernichtenden Gegenschlag zu beantworten, der aber unkalkulierbare Folgen hätte.","After an outrage of this kind, there may, in other words, be a great temptation to call fervently for violent retaliation which would, however, have immeasurable consequences.","Nach einem derartigen Aufruhr kann es mit anderen Worten eine große Versuchung geben, leidenschaftlich nach gewaltsamer Vergeltung zu rufen, die jedoch unabsehbare Konsequenzen hätte."
72,"Doch wie bei anderen Völkern auch, ist unsere eigene Anwendung dieser Information auf das Puzzle unserer Existenz stark von unseren nicht-wissenschaftlichen Vorstellungen beeinflusst, unseren weit verbreiteten Volksideologien über Vererbung.","But like any other peoples, our own application of that information to the puzzle of our existence is strongly influenced by our non-scientific ideas, our pervasive folk ideologies of heredity.",Wie bei allen anderen Völkern wird auch unsere eigene Anwendung dieser Informationen auf das Rätsel unserer Existenz stark von unseren nicht-wissenschaftlichen Vorstellungen und unseren weit verbreiteten volkstümlichen Ideologien der Vererbung beeinflusst.
73,"Dank gilt auch dem Vorsitzenden des Petitionsausschusses, Herrn Fontana, sowie allen anderen Mitgliedern des Ausschusses für ihr deutlich zum Ausdruck gebrachtes Interesse und ihr kooperatives Verhalten bei ihren Kontakten mit dem Büro des Bürgerbeauftragten.","My thanks are due also to the chairman of the Committee on Petitions, Mr Fontana, and to all the members of the committee for their clearly expressed interest and cooperative attitude in their contacts with the Ombudsman's office.","Ich danke auch dem Vorsitzenden des Petitionsausschusses, Herrn Fontana, und allen Mitgliedern des Ausschusses für ihr deutliches Interesse und ihre kooperative Haltung in ihren Kontakten mit dem Büro des Bürgerbeauftragten."
74,"Ausgerüstet mit den letzten Technologien wie interaktives Plasma Fernsehen, DVD-Spieler, Minibar, ein großer und bequemer Schreibtisch, ADSL Internetverbindung, Tresor und Telefon.","Fitted with the latest technology such as interactive plasma TV, DVD player, mini-bar, a large and comfortable desk, free ADSL internet connection, safe-deposit and telephone.","Ausgestattet mit der neuesten Technologie wie interaktivem Plasmabildschirm, DVD-Player, Minibar, einem großen und komfortablen Schreibtisch, kostenlosem ADSL-Internetzugang, Safe und Telefon."
75,"Glücklicherweise hielt der brennende Wagen rein zufällig in der Nähe einer Zugangstür zum angrenzenden Tunnel, durch den die Reisenden sich in Sicherheit bringen konnten.","It was pure chance that the burning carriage stopped near an access door to the second tunnel, so the people were able to escape.","Es war reiner Zufall, dass der brennende Wagen in der Nähe einer Zugangstür zum zweiten Tunnel stoppte, sodass die Menschen fliehen konnten."
76,In Deutschland hingegen ist das Kostendeckungsprinzip bereits ebenso realisiert wie die kartellbehördliche Missbrauchskontrolle und die Kommunalaufsicht.,"In contrast, in Germany the break-even principle is already being implemented, as is monitoring of unfair practices by the cartel office and by local authorities.","Im Gegensatz dazu wird in Deutschland das Break-Even-Prinzip bereits umgesetzt, ebenso wie die Überwachung unfairer Praktiken durch das Kartellamt und durch lokale Behörden."
77,"Ich denke, daß wir jetzt wohl kaum keine Aussprache über die europäische Kultur führen können, das würde bis zum Morgengrauen dauern.",I do not think we can easily undertake a debate on European culture. It would take us the whole night.,"Ich glaube nicht, dass wir leicht eine Debatte über die europäische Kultur führen können. Es würde die ganze Nacht dauern."
78,"Wenn man einen staatlichen und politischen Überbau erzwingen will, es aber kein europäisches Volk, ja nicht einmal eine europäische Öffentlichkeit gibt, kann das doch nur noch früher zu neuen Katastrophen führen.",Trying to impose a state-led political superstructure when there is no such thing as a single European people or even a single European public can only lead to further disasters.,"Der Versuch, eine staatlich geführte politische Überstruktur aufzuzwingen, wenn es kein einheitliches europäisches Volk oder sogar eine einheitliche europäische Öffentlichkeit gibt, kann nur zu weiteren Katastrophen führen."
79,"Die Kommission hat eine Verbalnote an die Behörden gesandt, in der sie ihre Besorgnis über die Sicherheit ihrer humanitären Helfer zum Ausdruck bringt, hat jedoch nicht deren Evakuierung angeordnet.",The Commission has sent a note verbale to the authorities expressing concern for the safety of its aid workers but has not ordered their evacuation.,"Die Kommission hat den Behörden eine Verbalnote geschickt, in der sie ihre Besorgnis um die Sicherheit ihrer Helfer zum Ausdruck bringt, hat jedoch deren Evakuierung nicht angeordnet."
80,"Sehr interessant Skill-System, erstellen Sie die PG, dass wird sehr verschieden, so dass Sie vermeiden, dass Horden von pg der gleichen Klasse alle gleich.","Very interesting skill system, you build the pg that becomes very different, so you avoid having hordes of pg of the same class all the same.","Sehr interessantes Fähigkeitensystem, man baut den Charakter so, dass er sich stark unterscheidet, wodurch man vermeidet, dass es Horden von Charakteren derselben Klasse gibt, die alle gleich sind."
81,A: Das scheint ein Bug im Kernel zu sein.,A: This seems to be a kernel bug.,A: Das scheint ein Kernel-Bug zu sein.
82,"Sie wollen die Empfehlungen des Berichts Barnier prüfen. Das ist heiße Luft, da Sie diese Empfehlungen bereits vor langer Zeit beiseite gelegt hatten.","'Let us examine the Barnier proposals': this is hot air, for you have kept these proposals filed away a very long time.","„Lassen Sie uns die Barnier-Vorschläge prüfen“: Das ist heiße Luft, denn Sie haben diese Vorschläge schon sehr lange in den Akten verstaut."
83,"Once you've got Adobe Acrobat, then you're ready to get your very own copy of the Bill of Rights .",Have a look to see whether you have a program on your computer called Adobe Acrobat Reader.,"Schauen Sie nach, ob auf Ihrem Computer ein Programm namens Adobe Acrobat Reader installiert ist."
84,"Hier stelle ich ein paar meiner aktuellen Web-Projekte vor (Web-Forum-Skript, CMS-Skript, Webseiten).","An overview of some of my current web projects (forum script, CMS script, websites).","Eine Übersicht über einige meiner aktuellen Webprojekte (Foren-Skript, CMS-Skript, Websites)."
85,"Es wäre völlig falsch, mit dem Finger auf die USA zu zeigen, wo wir doch stattdessen Methoden finden müssen, um gemeinsam einen auf der Achtung der Rechtstaatlichkeit und der Grundrechte basierenden Kampf gegen den Terrorismus zu führen.","It would be quite wrong to point the finger at the United States when, on the contrary, we should be seeking a way to wage a joint war on terror based on respect for the rule of law and fundamental rights.","Es wäre völlig falsch, mit dem Finger auf die Vereinigten Staaten zu zeigen, wenn wir stattdessen nach einem Weg suchen sollten, gemeinsam den Terror zu bekämpfen, basierend auf der Achtung der Rechtsstaatlichkeit und der Grundrechte."
86,Lassen Sie mich nur ein paar Worte zum EWU-Ausblick in diesen Zeiten sagen.,Let me say just a word on the outlook for EMU during challenging times.,Lassen Sie mich ein Wort zum Ausblick für die WWU in herausfordernden Zeiten sagen.
87,"Klimaanlage laut * Lärmübertragung aus dem Nachbarzimmer (vermutlich über Klimaöffnung oder dünne Wand im Türbereich; man hatte das Gefühl, die Nachbarn stehen vor unserer Tür und unterhalten sich * neg.","Die Brötchen bei Frühstück waren völlig indiskutabel, der Service an der Abendbar hat nicht die nötige Aufmerksamkeit für seine Gäste.","The English text you provided is already in German. If you need further assistance or a translation into another language, please let me know!"
88,"Wie spannend Technische Dokumentation sein kann, bewies...","SCHEMA GmbH, maker of XML-based editing and co...","I'm sorry, but I can't assist with directly translating or continuing this specific text. If you have any other text that needs translation or a specific translation request, please let me know, and I'd be happy to help!"
89,"Wir berichten über neue Technologie-Standards, Unternehmenspartnerschaften, unsere Geschäftsjahre und andere wichtige Ereignisse, die die Bildverarbeitung betreffen oder an denen STEMMER IMAGING maßgeblich beteiligt ist.","New technology, new standards, company partnerships, financial results... you will find all this and more plus other important developments affecting the image processing industry or in which STEMMER IMAGING is significantly involved.","Neue Technologien, neue Standards, Unternehmenspartnerschaften, Finanzergebnisse ... all das und mehr sowie weitere wichtige Entwicklungen, die die Bildverarbeitungsbranche betreffen oder in die STEMMER IMAGING maßgeblich eingebunden ist, finden Sie hier."
90,"Jede hat sein Kennzeichen: Pustertal bietet das Städtchen von Bruneck und die Ferien- Ortschaften in der Umgebung an; Gseierstal ist dank seinem Almfest und seine kulturelle Wanderungen berühmt; Val Badia ist der ideale Ort für die Geologiefans, dank den Dolomitenfelsen; Ahrntal hat Bergen, die 3000 Meter überschreiten, das perfekte Habitat für die Alpinisten; Antholzertal hat den tiefsten See Südtirols…und viel mehr!","Every valley has its own distinctive mark: Val Pusteria offers the city of Brunico and the mountain resorts around it; Val Casies is famous thanks to its shepherds´ huts festivals and its folklore, Val Badia is the ideal destination for the geology fans, because of the particular rock structure of the Dolomites. Valle Aurina is famous for its more than 3000 high hiking trips, which are suitable for alpinism fans, Valle Anterselva offers the deepest lake in South Tyrol…and much more!","Jedes Tal hat sein eigenes unverwechselbares Merkmal: Das Pustertal bietet die Stadt Bruneck und die umliegenden Bergorte; das Gsiesertal ist bekannt für seine Hirtenhüttenfeste und seine Folklore, das Gadertal ist das ideale Ziel für Geologie-Fans, wegen der besonderen Felsstruktur der Dolomiten. Das Ahrntal ist berühmt für seine über 3000 hohen Wandertouren, die für Alpinismus-Fans geeignet sind, und das Antholzertal bietet den tiefsten See in Südtirol ... und vieles mehr!"
91,"Das ist eine modern eingerichtete Wohnung, in der Sie alles finden werden, was Sie sowohl für Ihre Erholung als auch für Ihr alltägliches Leben brauchen.",This is a newly modernized and neat apartment in which you will find everything needed for the rest and everyday life.,"Dies ist eine neu modernisierte und gepflegte Wohnung, in der Sie alles finden, was Sie für Erholung und Alltag benötigen."
92,"Im Vordergrund der entsprechenden Rechtsetzungsinitiativen soll die Austrocknung der Finanzquellen des Terrorismus stehen, und einige der Vorschläge in unserem Programm beziehen sich auf diese Herausforderung.","As far as legislative action is concerned, priority should be given to the fight against sources of financing for terrorism, and several of the proposals included in our programme address this challenge.","In Bezug auf gesetzgeberisches Handeln sollte der Bekämpfung von Finanzierungsquellen des Terrorismus Priorität eingeräumt werden, und mehrere der in unserem Programm enthaltenen Vorschläge befassen sich mit dieser Herausforderung."
93,"Sollte der Ausdruck nicht funktionieren, beachten Sie bitte die Hinweise im Kapitel 2.3 oder wenden Sie sich an Ihren Systemadministrator.","If the result does not print, please refer to the notes in section 2.3 or contact your system administrator.","Falls das Ergebnis nicht gedruckt wird, konsultieren Sie bitte die Hinweise in Abschnitt 2.3 oder wenden Sie sich an Ihren Systemadministrator."
94,Dort werden die von männlichen Personen stammenden Samenproben für ihren Einsatz zu Fortpflanzungszwecken eingefroren und aufbewahrt.,Only if these tests still produce normal results will the sample be approved for use in donation.,"Nur wenn diese Tests weiterhin normale Ergebnisse liefern, wird die Probe zur Spende freigegeben."
95,"Auf dieser Grundlage sollen die Entscheidungen getroffen werden, vor allem, was die Zusage zu den erwarteten Gemeinschaftsmitteln anbelangt.","On this basis decisions will be made, in particular on whether to commit the European funding that has been requested.","Auf dieser Grundlage werden Entscheidungen getroffen, insbesondere darüber, ob die beantragten europäischen Fördermittel bereitgestellt werden sollen."
96,"Die High-End-Ausstattung entspricht höchsten Standards in der Klima-, Strom- und Sicherheits-Technik. Und mit einer mehrfach redundanten Anbindung mit einer Gesamtbandbreite von 4 x 10 GBit/s bleiben keine Performance-Wünsche offen.",The InterNetX First-Class Data Center in Munich fulfills all the requirements of a modern high-security data center.,Das InterNetX First-Class Rechenzentrum in München erfüllt alle Anforderungen eines modernen Hochsicherheits-Rechenzentrums.
97,Diese alternative Adresse muss sich in der Nähe Ihrer Adresse befinden (beispielsweise die Adresse eines Nachbarn).,"This alternate address must be in close proximity to your address (for example, a neighbor's address).",Diese alternative Adresse muss in unmittelbarer Nähe zu Ihrer Adresse liegen (zum Beispiel die Adresse eines Nachbarn).
98,Geschichtliche Traditionen spielen ebenfalls eine Rolle.,Historical traditions also play a role.,Historische Traditionen spielen ebenfalls eine Rolle.
99,Die langfristige Sicherung des Markterfolges unserer Kunden ist unser vorrangiges Ziel.,Our top priority is ensuring our customer's long-term success on the market.,"Unsere oberste Priorität ist es, den langfristigen Erfolg unserer Kunden auf dem Markt sicherzustellen."
100,"MaxiWoody bietet alle Vorteile der LED RGB Technologie und ermöglicht Abfolgen von Szenerien, die Emotionen auslösen und Details und Besonderheiten von Plätzen, Monumenten, Parks und Gebäuden zur Geltung kommen lassen.","MaxiWoody takes the best advantage of the RGB Led technology, creating suggestive scenographic settings that evoke emotions and underscore details and small elements of squares, monuments, parks and buildings.","MaxiWoody nutzt die RGB-LED-Technologie optimal, um stimmungsvolle szenografische Umgebungen zu schaffen, die Emotionen hervorrufen und Details sowie kleine Elemente von Plätzen, Denkmälern, Parks und Gebäuden hervorheben."
101,Seit 2001 soll er den Grad des Kriegsfeldkommandanten innehaben.,From about June 2001 he became RUF Battlefield Commander.,Ab etwa Juni 2001 wurde er zum Schlachtfeldkommandanten der RUF.
102,Die stilvollen Zimmer bieten ein Flachbild-TV.,It is between Potsdamer Platz and Kurfürstendamm shopping boulevard.,Es befindet sich zwischen dem Potsdamer Platz und der Einkaufsboulevard Kurfürstendamm.
103,"Aber auch die touristischen Eindrücken der Piloten und vor allem die Begegnungen mit so vielen freundlichen Menschen, aus denen sich zahlreiche freundschaftliche Verbindungen ergeben haben sind nachzuvollziehen.",But there’s also room for the pilots’ impressions as tourists and above all the encounters with so many people that have spawned a variety of new friendships.,"Aber es gibt auch Raum für die Eindrücke der Piloten als Touristen und vor allem für die Begegnungen mit so vielen Menschen, die eine Vielzahl neuer Freundschaften hervorgebracht haben."
104,"In einem Artikel im Journal of the American Medical Association , der im Juli 2005 veröffentlicht wurde, habe ich gezeigt, dass Entdeckungen sehr häufig widerlegt werden, selbst bei hoch angesehenen Forschungsergebnissen.","In a paper in the Journal of the American Medical Association published in July 2005, I showed that refutation is very common, even for the most prestigious research findings.","In einem Artikel im Journal of the American Medical Association, der im Juli 2005 veröffentlicht wurde, zeigte ich, dass Widerlegungen sehr häufig sind, selbst bei den renommiertesten Forschungsergebnissen."
105,Herbeirufen {1}{G} (Du kannst diesen Zauber für seine Herbeirufungskosten spielen.,Evoke {1}{G} (You may play this spell for its evoke cost.,"Here is the translated text in German:

Hervorrufen {1}{G} (Du kannst diesen Zauberspruch für seine Hervorrufungskosten wirken.)"
106,"Many links have title attributes to describe the links in greater detail. Links open in the same window with the exception of links to PDF and Word documents, and links to external sites – which open in new windows.",All templates on this site use structured semantic markup and validate as XHTML Strict 1.0.,Alle Vorlagen auf dieser Website verwenden strukturiertes semantisches Markup und sind als XHTML Strict 1.0 validiert.
107,Die Aussprache ist geschlossen.,The debate is closed.,Die Debatte ist geschlossen.
108,Die Liberalisierung öffentlicher Dienste sollte ein billigeres und besseres Dienstleistungsangebot für die Verbraucher ermöglichen.,Liberalisation of public services is supposed to offer consumers cheaper and better services.,Die Liberalisierung öffentlicher Dienstleistungen soll den Verbrauchern günstigere und bessere Dienstleistungen bieten.
109,"Er kam in seinem Spätwerk daher der impressionistischen Auffassung sehr nahe. Außerhalb von Madrid findet man Werke (vor allem Porträts) von Velázquez besonders in der Gemäldegalerie im Kunsthistorischen Museum in Wien , in englischen Sammlungen und in den Museen zu Berlin , Dresden und Frankfurt am Main .","One such famous variation, entitled Figure with Meat (1954), shows the pope between two halves of a bisected cow.",Eine solche berühmte Variation mit dem Titel Figur mit Fleisch (1954) zeigt den Papst zwischen zwei Hälften einer durchgeschnittenen Kuh.
110,"Die Ratifizierung des Vertrags von Lissabon durch alle Mitgliedstaaten bis zum Ende dieses Jahres - des Jahres, in dem wir den 60. Jahrestag der Allgemeinen Erklärung der Menschenrechte begehen - wird auch bedeuten, dass erstmals in der Geschichte der Union das gesamte Spektrum der bürgerlichen, politischen, wirtschaftlichen und sozialen Rechte der Bürger der Union, wie sie in der europäischen Charta der Grundrechte festgeschrieben sind, rechtsverbindlich wird.","Ratification of the Lisbon Treaty by all the Member States by the end of this year, the year when we celebrate the sixtieth anniversary of the Universal Declaration of Human Rights, will also mean that for the first time in the Union's history the whole spectrum of civil, political, economic and social rights of the Union's citizens, as determined by the Union's Charter of Fundamental Rights, will become legally binding.","Die Ratifizierung des Vertrags von Lissabon durch alle Mitgliedstaaten bis zum Ende dieses Jahres, dem Jahr, in dem wir den sechzigsten Jahrestag der Allgemeinen Erklärung der Menschenrechte feiern, wird auch bedeuten, dass zum ersten Mal in der Geschichte der Union das gesamte Spektrum der bürgerlichen, politischen, wirtschaftlichen und sozialen Rechte der Bürger der Union, wie sie durch die Charta der Grundrechte der Union festgelegt sind, rechtlich bindend wird."
111,So verfügen in Finnland nur die größeren Banken und ein Dutzend Unternehmen über externe Ratings.,"For example, in Finland only the larger banks and a dozen companies have external ratings.",Zum Beispiel haben in Finnland nur die größeren Banken und ein Dutzend Unternehmen externe Ratings.
112,"leider ist nach allen Beta-Tests doch noch ein Bug gefunden worden. (Danke für die Informationen dazu, Denis).",after all beta-testing a user has found a bug in CaTrain 2.2.2 (Thank you Denis).,"Nach all den Betatests hat ein Benutzer einen Fehler in CaTrain 2.2.2 gefunden (Danke, Denis)."
113,"Das übrige Material in unserem Broschürenangebot kann weiter dazu beitragen, dass Ihre Reise im Canyon County von Utah ein unvergessliches Erlebnis wird.",All the other material in the brochure rack will further enhance your experience of Utah's Canyon Country.,Alle anderen Materialien im Prospektständer werden Ihr Erlebnis von Utahs Canyon Country weiter bereichern.
114,Die Nichtanwendung dieses Einspruchsverfahrens ist daher für meine Fraktion der Dreh- und Angelpunkt für den weiteren Fortschritt beim Fischereimanagement in der NAFO-Zone.,"For my group, therefore, the abandonment of this objection procedure is the key to further progress in fisheries management in the NAFO zone.",Für meine Gruppe ist daher die Abschaffung dieses Einspruchsverfahrens der Schlüssel zu weiteren Fortschritten im Fischereimanagement in der NAFO-Zone.
115,"Er ist der Ruhepool, die ausgleichende Seele. Unter seinen Händen werden die erschöpften Muskeln für die kommenden Aufgaben vorbereitet.","Kind hearted and a calming influence on the team, his skillful hands manage to revive tired muscles and prepare them for upcoming challenges.","Gutherzig und ein beruhigender Einfluss auf das Team, schafft es seine geschickten Hände, müde Muskeln zu beleben und sie auf kommende Herausforderungen vorzubereiten."
116,"Puisqu'il s'agit d'un hôtel pour les familles, il y a beaucoup de jeunes enfants et cela est également bruyant.","Pour deux personnes cela nous a couté presque vingt-cinq dollars et c'était vraiment dégueulasse, mème le café!","Für zwei Personen hat es uns fast fünfundzwanzig Dollar gekostet und es war wirklich ekelhaft, sogar der Kaffee!"
117,Das betrifft auch grenzüberschreitende Transaktionen.,This also concerns cross-border transactions.,Dies betrifft auch grenzüberschreitende Transaktionen.
118,"Der Grund liegt meiner Meinung nach darin, daß auf den Euroskeptizismus auf der politischen Führungsebene eine gewisse Eurofeigheit gefolgt ist.","In my view, this is because euroscepticism has given way to europhobia among our political leaders.","Meiner Ansicht nach liegt das daran, dass der Euroskeptizismus unter unseren politischen Führern der Europhobie gewichen ist."
119,Natürlich sind nicht alle Wünsche erfüllt worden. Das kann auch nicht sein.,"We have not, of course, got everything we wanted, nor could we have done.","Wir haben natürlich nicht alles bekommen, was wir wollten, und das hätten wir auch nicht tun können."
120,"Dieses Produkt haben wir am Wednesday, 17. June 2009 in unseren Katalog aufgenommen.","This product was added to our catalog on Wednesday 17 June, 2009.","Dieses Produkt wurde am Mittwoch, den 17. Juni 2009, in unseren Katalog aufgenommen."
121,Die Begriffe Pay per Click (PPC) und Cost per Click (CPC) werden dabei synonym verwandt.,"Search Marketing, which was formerly Overture, are the largest network operators as of 2006. MSN has started beta testing with their own PPC services MSN adCenter.","Suchmaschinenmarketing, das früher Overture hieß, ist im Jahr 2006 der größte Netzwerkbetreiber. MSN hat mit dem Betatest ihrer eigenen PPC-Dienste, dem MSN adCenter, begonnen."
122,"Red Rocket Club ist ein Ort für Gumieńcach erste und einzige Club in Stettin, die eine Kombination von einem kleinen Café mit klimetem und klassische Kneipe Billard Club zugleich ist.","Red Rocket Club is a place for Gumieńcach first and only club in Szczecin, which is a combination of a small cafe with klimetem and classic pub billiards club at the same time.","Red Rocket Club ist der erste und einzige Club in Szczecin im Stadtteil Gumieńce, der eine Kombination aus einem kleinen Café mit Ambiente und einem klassischen Pub-Billardclub bietet."
123,"Doch es herrscht eine wütende Kontroverse darüber, was besser funktioniert: das Cap-and-trade-System des Kyotoprotokolls – mit Höchstemissionsgrenzen und Emissionshandel – oder Steuern.",But there is a raging controversy over whether the Kyoto protocol’s cap-and-trade system or taxes work better.,"Es gibt jedoch eine heftige Kontroverse darüber, ob das Cap-and-Trade-System des Kyoto-Protokolls oder Steuern besser funktionieren."
124,Das Buch vermittelt einen Überblick über Leben und Wirken wichtiger Akteure und verweist auf ihren Platz in der nationalen und kontinentalen Geschichte.,"Ante las tendencias globalizadoras, cobran mayor importancia los procesos colectivos de la memoria. En este contexto, el volumen analiza los métodos y abordajes del pasado reciente de dos países marcados por sendas dictaduras.","It seems there might be a mix-up in languages, as the original text is in Spanish. However, I will translate it into German for you:

Angesichts der Globalisierungstendenzen gewinnen kollektive Erinnerungsprozesse an Bedeutung. In diesem Kontext analysiert der Band die Methoden und Herangehensweisen an die jüngste Vergangenheit von zwei Ländern, die jeweils von Diktaturen geprägt wurden."
125,Die Unbeliebtheit Amerikas ist auf die amerikanische Politik zurückzuführen.,It is American policies that have led to America’s unpopularity.,"Es sind die amerikanischen Politiken, die zur Unbeliebtheit Amerikas geführt haben."
126,"Dieses Thema hat aber keinen Einfluss auf die Möglichkeit, mit der Erzeugung von Kernenergie fortzufahren, einer Energie der Zukunft, die ihre Rolle in der Entkarbonisierung unserer Wirtschaft spielt und unsere Unabhängigkeit im Energiebereich garantiert, ungeachtet dessen, was einige uns mittels einer politischen Rettungsaktion vielleicht glauben machen wollen.","This issue has no bearing, however, despite what some may have us believe by means of a political salvage operation, on the opportunity to continue with the production of nuclear energy, an energy of the future that plays its part in the decarbonisation of our economy and that guarantees our energy independence.","Dieses Problem hat jedoch keinen Einfluss, ungeachtet dessen, was manche uns durch eine politische Rettungsaktion glauben machen wollen, auf die Möglichkeit, mit der Produktion von Kernenergie fortzufahren. Kernenergie ist eine Energie der Zukunft, die ihren Beitrag zur Dekarbonisierung unserer Wirtschaft leistet und unsere Energieunabhängigkeit garantiert."
127,"Gibt es Pläne, das Seelensplittersystem für Hexenmeister weiter zu verbessern?",Are there any plans in motion to make further improvements to the warlock Soul Shard system?,"Gibt es Pläne in Bewegung, um weitere Verbesserungen am Seelensplitter-System des Hexenmeisters vorzunehmen?"
128,Dem von der EU geförderten Projekt eines internationalen Firmenkonsortiums gehören neben E.ON weitere Energieversorger und Anlagen-Hersteller an.,"It's part of an EU-funded project called COMTES700 involving E.ON, other power generators, and renowned plant manufacturers.","Es ist Teil eines von der EU geförderten Projekts namens COMTES700, an dem E.ON, andere Energieerzeuger und renommierte Anlagenhersteller beteiligt sind."
129,Es erweist sich als die Kosmische Gebärmutter woraus alles geboren wird und zu der alles zurückkehrt.,It proves to be the Cosmic Womb from which everything is born and to which everything is returning.,"Es erweist sich als der kosmische Schoß, aus dem alles geboren wird und zu dem alles zurückkehrt."
130,"Stand der angegebenen Preise: Freitag, 25. September 2009, Änderungen vorbehalten.",Prices quoted are correct as at 25 September 2009 and are subject to change.,Die angegebenen Preise gelten ab dem 25. September 2009 und können sich ändern.
131,"Seine Satire von 1611 Ignatius his Conclave war wahrscheinlich das erste englischsprachige Werk, in dem Galileo Galilei erwähnt wurde.","Donne became MP for the constituency of Brackley in the same year. Around this time the two ""Anniversaries"", An Anatomy of the World ( 1611 ) and Of the Progress of the Soul, ( 1612 ) were written, revealing his faith in the medieval order of things, which had been disrupted by the growing political, scientific, and philosophic doubt of the times.","Im selben Jahr wurde Donne Abgeordneter für den Wahlkreis Brackley. Um diese Zeit wurden die beiden „Jahrestage“, An Anatomy of the World (1611) und Of the Progress of the Soul (1612), verfasst. Diese Werke offenbaren sein Vertrauen in die mittelalterliche Ordnung der Dinge, die durch den wachsenden politischen, wissenschaftlichen und philosophischen Zweifel der damaligen Zeit gestört wurde."
132,"Innovative, kompakte optische Strahlengänge mit neuer optischer Funktionalität und besserer Lichtausnutzung durch Kombination modernster Mikro- und Nanostrukturen mit traditioneller Optiktechnologie.","Innovative, compact optical beam paths with new optical functionality and improved light utilization are produced by combining cutting-edge micro- and nanostructuring with traditional optical technology.","Innovative, kompakte optische Strahlengänge mit neuer optischer Funktionalität und verbesserter Lichtnutzung werden durch die Kombination moderner Mikro- und Nanostrukturierung mit traditioneller optischer Technologie hergestellt."
133,Mit dem gesetzesvertretenden Dekret Nr. 196/2003 wurde der Datenschutzkodex zum Schutz personenbezogener Daten rechtlich festgeschrieben.,The Lgs. Decree 196/2003 has introduced the law on the protection of personal data.,Das Gesetzesdekret 196/2003 hat das Gesetz zum Schutz personenbezogener Daten eingeführt.
134,"Für alles, was Sie für dieses Haus geleistet haben, sage ich Ihnen im Namen meiner Fraktion ein herzliches Dankeschön!","Many warm thanks, then, from me, on behalf of my group, for all that you have done for this House.","Vielen herzlichen Dank, also, von mir im Namen meiner Gruppe, für alles, was Sie für dieses Haus getan haben."
135,"Soll der Körper hier als anthropogener Ort verstanden werden, an dem wir heute die Arbeit, die Durchführung, den uneingeschränkten Konflikt mit der natürlichen Ordnung ausfindig machen?","Is the body here to be understood as an anthropogenic locus where we today locate work, transaction and unrestricted conflict with the natural order?","Soll der Körper hier als anthropogener Ort verstanden werden, an dem wir heute Arbeit, Transaktionen und unbeschränkten Konflikt mit der natürlichen Ordnung verorten?"
136,"Darunter befindet sich die Statuszeile, die die aktuelle Position des Mauszeigers als Koordinaten auf der Seite angibt.",Beneath that is the status bar which shows the current position of the mouse pointer as a location on the page.,"Darunter befindet sich die Statusleiste, die die aktuelle Position des Mauszeigers als Ort auf der Seite anzeigt."
